Id,Nom_festival,Type,Region,Ville,Geocode,Annee,Site_internet,Genre_musique,Spectacle_vivant,Cinema_audiovisuel,Art,Livre_litterature
FEST_71137_1713,Grand Bastringue de Cluny,Musique,Bourgogne-Franche-Comté,Cluny,"46.4303628582, 4.67033276327",2006,www.grandbastringue.com,,,,,
FEST_60159_1775,Palais en jazz,Musique,Hauts-de-France,Compiègne,"49.3990601478, 2.85317249363",2012,http://palaisenjazz.com/fr,"Jazz, Blues",,,,
FEST_36062_1915,La Parenthèse musique,Musique,Centre-Val de Loire,Cuzion,"46.4715144043, 1.61693641258",2015,https://lavalleedelacreuse.fr,,,,,
FEST_87060_2046,Feuyas'tival,Musique,Nouvelle-Aquitaine,Dournazac,"45.629584088, 0.918572363305",2018,http://www.feuyastival.fr,Musiques actuelles,,,,
FEST_50167_2050,D'une fanfare à l'autre,Musique,Normandie,Dragey-Ronthon,"48.7166999564, -1.48832263825",2020,https://dunemusicalautre.fr/,FANFARES de divers styles,,,,
FEST_24164_2165,Château d'excideuil en Musique,Musique,Nouvelle-Aquitaine,Excideuil,"45.3293054433, 1.06217894627",2015,http://chateaudexcideuilenmusique.jimdofree.com,Musiques classiques et savantes,,,,
FEST_70227_2190,Musique et Mémoire,Musique,Bourgogne-Franche-Comté,Faucogney-et-la-Mer,"47.8319641353, 6.5834328372",1994,https://musetmemoire.com/,Musique baroque,,,,
FEST_38169_2249,Fête du travailleur alpin,Musique,Auvergne-Rhône-Alpes,Fontaine,"45.1930502486, 5.67763066542",2014,https://fete.travailleur-alpin.fr/,Musiques actuelles sans distinction,,,,
FEST_23096_2519,Nuits d'été de Guéret,Musique,Nouvelle-Aquitaine,Guéret,"46.1632121428, 1.87078672735",2005,fr-fr.facebook.com/LesNuitsDeteDeGueret/,Musiques actuelles,,,,
FEST_67180_2541,L'Humour des notes,Spectacle vivant,Grand Est,Haguenau,"48.8417047695, 7.83010404968",1991,https://www.humour-des-notes.com/,,Arts de la rue,,,
FEST_62447_2575,Jam Graffiti Hesdin,"Arts visuels, arts numériques",Hauts-de-France,Hesdin,"50.3737561031, 2.03813237444",2019,https://www.destinationcotedopale.com/agenda/graffiti-jam/,,,,Street Art,
FEST_25609_2676,Les nuits de Joux,Spectacle vivant,Bourgogne-Franche-Comté,Joux,"46.886228497, 6.44711021726",1974,https://nuitsdejoux.fr/,,Théâtre,,,
FEST_50281_2793,Festival Musical de l'Abbaye de la Lucerne,Musique,Normandie,La Lucerne,"48.788392012, -1.40995865422",2008,https://www.lesamisdelabbayedelalucerne.com/,Musique classique,,,,
FEST_24354_2818,Jazz et Vin en Double,Musique,Nouvelle-Aquitaine,La Roche-Chalais,"45.1355934306, 0.0550563261049",2015,http://fr-fr.facebook.com/Festival-Jazz-et-vin-en-double-La-Roche-Chalais-24490-752542278247477/,Musiques actuelles,,,,
FEST_85191_2849,Les Esquisses d’été,Spectacle vivant,Pays de la Loire,La Roche-sur-Yon,"46.6675261644, -1.4077954093",2000,http://lementeurvolontaire.com/fr/esquisse-d-ete/,,Théâtre,,,
FEST_34293_2862,Festival de la poésie sauvage,Spectacle vivant,Occitanie,La Salvetat-sur-Agoût,"43.6021759228, 2.68705591152",2013,https://www.facebook.com/poesiesauvage34/,,,,,
FEST_76351_3094,Festival Pharenheit,Spectacle vivant,Normandie,Le Havre,"49.498452502, 0.140153719153",2013,http://www.pharenheit.fr/2021/fr/,,Danse,,,
FEST_43157_3167,Festival des nuits de Saint-Jacques,Musique,Auvergne-Rhône-Alpes,Le Puy-en-Velay,"45.0276366659, 3.89535229067",2015,www.nuitsdesaintsjacques.com,Chanson ou variété française,,,,
FEST_16182_3285,Festival de L'accordéon de Lesterps,Musique,Nouvelle-Aquitaine,Lesterps,"46.012245179, 0.791766541587",1996,http://comitefeteslesterps.free.fr/,Musiques actuelles,,,,
FEST_53133_3311,Les Roches d'Orgères,Musique,Pays de la Loire,Lignières-Orgères,"48.5288919372, -0.212232237721",2014,http://lesrochesdorgeres.fr/,,,,,
FEST_87085_3391,Urban Empire,Musique,Nouvelle-Aquitaine,Limoges,"45.8542549589, 1.2487579024",2017,http://www.horizonscroises.fr/,Musiques actuelles,,,,
FEST_50410_3593,Badger Festivam,Musique,Normandie,Macey,"48.5689721753, -1.48653363271",2019,http://badger-festival.fr,,,,,
FEST_18145_3854,Festival A La RUE!,Spectacle vivant,Centre-Val de Loire,Menetou-Salon,"47.241732115, 2.49021091816",2014,https://www.carroi-alarue.fr/,,Arts de la rue,,,
FEST_45203_3888,Contes au jardin,Spectacle vivant,Centre-Val de Loire,Meung-sur-Loire,"47.8397230739, 1.69811579508",2008,www.meung-sur-loire.com,,Arts du conte,,,
FEST_56134_3942,Hangar,Musique,Bretagne,Mohon,"48.0633640521, -2.49561629627",2016,http://studiolerocher.fr/,"Musiques du monde, Musiques traditionnelles, Musiques électroniques, techno, Pop, rock",,,,
FEST_39333_3943,Ideklic,Spectacle vivant,Bourgogne-Franche-Comté,Moirans-en-Montagne,"46.4388080084, 5.73795329823",1989,https://www.ideklic.fr,,,,,
FEST_24291_1,Cultures Aux Coeurs,Spectacle vivant,Nouvelle-Aquitaine,Montignac-Lascaux,"45.0627368774, 1.15422675286",1981,www.festivaldemontignac.fr/,,Spectacle vivant pluridisciplinaire,,,
FEST_25405_4124,Festival lyrique de Montperreux,Musique,Bourgogne-Franche-Comté,Montperreux,"46.8204797871, 6.34452081973",2009,https://festival-montperreux.org/nous-contacter/,,,,,
FEST_68224_4224,Drumm'Her Festival,Musique,Grand Est,Mulhouse,"47.749163303, 7.32570047509",2018,https://drummherfestival.com/,"Chanson ou variété française, Musiques du monde, Musiques traditionnelles, Variétés internationales, RnB, Musiques électroniques, techno, Hip-hop, rap, slam, Métal, hard rock, Pop, rock, Jazz, blues, Musique contemporaine",,,,
FEST_67311_4244,L'Avide Jardin,Spectacle vivant,Grand Est,Muttersholtz,"48.2687190251, 7.53306592763",2009,avidejardin.com,,Conte,,,
FEST_54395_4256,Donké festival,Musique,Grand Est,Nancy,"48.6901995499, 6.17588254434",2007,https://fb.me/e/1GOlglCQa,Musiques du monde,,,,
FEST_54395_4267,L'Enfer,"Arts visuels, arts numériques",Grand Est,Nancy,"48.6901995499, 6.17588254434",2015,lenferfestival.blogspot.com,,,,arts graphiques,
